,0
2376,17013
2377,5149
2378,48007
2379,21001
2380,18027
2381,41055
2382,42057
2383,31159
2384,21131
2385,21115
2386,55037
2387,37141
2388,38029
2389,21171
2390,31097
2391,31137
2392,19079
2393,19039
2394,21133
2395,20061
2396,27117
2397,13079
2398,21089
2399,21043
2400,5107
2401,17059
2402,20157
2403,20197
2404,39111
2405,47077
2406,21195
2407,13101
2408,39137
2409,28041
2410,5083
2411,48371
2412,27101
2413,13025
2414,39125
2415,17185
2416,19069
2417,51011
2418,12047
2419,31167
2420,29161
2421,31033
2422,22123
2423,54041
2424,5047
2425,13161
2426,2195
2427,55061
2428,17081
2429,39115
2430,41015
2431,51071
2432,6033
2433,13003
2434,20129
2435,40067
2436,27127
2437,31041
2438,55137
2439,19037
2440,39145
2441,29227
2442,54091
2443,18131
2444,26141
2445,5065
2446,29123
2447,19189
2448,51167
2449,29075
2450,19125
2451,13283
2452,48505
2453,5021
2454,29199
2455,27151
2456,48275
2457,42047
2458,54109
2459,51045
2460,27135
2461,26105
2462,48111
2463,21219
2464,21099
2465,16077
2466,17029
2467,19021
2468,50013
2469,54009
2470,39105
2471,13141
2472,51053
2473,54095
2474,38011
2475,42065
2476,55065
2477,48107
2478,22023
2479,54019
2480,51027
2481,37153
2482,40007
2483,48335
2484,40095
2485,29089
2486,2050
2487,12041
2488,51111
2489,54047
2490,40043
2491,48193
2492,48195
2493,29167
2494,12123
2495,20163
2496,21087
